Animal			pS	phylum
Tiger_Salamander 	150	vertebrate
California_sea_hare	110.5	non
Cow			238	vertebrate
C_elegans		51	non
Dog			244	vertebrate
Garden_snail		64	non
Longfin_Inshore_squid	40	non
Fruit_fly		126	non
White_Leghorn_Chicken	210	vertebrate
Cricket			120	non
Burgundy_snail		50	non
Human			220	vertebrate
Rabbit			209	vertebrate
Little_Skate		103	vertebrate
House_mouse		254.3	vertebrate
American_Cockroach	170	non
Red_swamp_Crayfish	68	non
Brown_rat		238.4	vertebrate
Desert_Locust		133	non
